Question,Answers,Correct
Сколько планет в Солнечной системе?,"7,8,9",3
Какая планета является самой большой в Солнечной системе?,"Марс,Венера,Юпитер",3
Какая гора на Земле является самой высокой?,"Эверест,Альпы,Килиманджаро",1
Сколько человек ходило по поверхности Луны?,"1,2,12",3
Какой океан является самым большим на Земле?,"Тихий океан,Атлантический океан,Индийский океан",1
Какая столица Франции?,"Берлин,Париж,Лондон",2
Какой газ является наиболее распространенным в атмосфере Земли?,"Азот,Кислород,Углекислый газ",1
Кто написал пьесу "Ромео и Джульетта"?,"Джейн Остин,Оскар Уайльд,Уильям Шекспир",3
Какой химический символ у золота?,"Ag,Au,Gd",2
Какая планета известна как "Красная планета"?,"Меркурий,Венера,Марс",3
Какое млекопитающее является самым большим на Земле?,"Слон,Жираф,Синий кит",1
В каком году закончилась Вторая мировая война?,"1942,1945,1939",2
Какой процесс называется процессом создания растениями своей пищи?,"Дыхание,Фотосинтез,Брожение",2
Кто написал "Мону Лизу"?,"Винсент ван Гог,Пабло Пикассо,Леонардо да Винчи",3
Какое самое высокое наземное животное на планете?,"Кенгуру,Жираф,Слон",2
Какой химический символ у воды?,"CO2,O2,H2O",3
Кто известен как "Отец современной физики"?,"Мария Кюри,Исаак Ньютон,Альберт Эйнштейн",3
Какая птица является самой большой на планете?,"Кондор,Эму,Страус",3
Какое самое маленькое простое число?,"3,2,1",3
Какой известный ученый сформулировал законы движения и закон всемирного тяготения?,"Томас Эдисон,Исаак Ньютон,Никола Тесла",2
Какой газ отвечает за парниковый эффект на Земле?,"Водород,Кислород,Углекислый газ",3
Какая валюта в Японии?,"Доллар,Евро,Иена",3
Кто автор "Гордости и предубеждения"?,"Эмили Дикинсон,Шарлотта Бронте,Джейн Остин",3
Какая планета является самой большой в нашей Солнечной системе?,"Нептун,Сатурн,Юпитер",3
Сколько костей взрослого человеческого тела?,"150,300,206",3
