Question,Answers,Correct
How many planets are there in the Solar System?,"7,8,9",3
What is the largest planet in the Solar System?,"Mars,Venus,Jupiter",3
What is the highest mountain on Earth?,"Everest,Alps,Kilimanjaro",1
How many people have walked on the Moon?,"1,2,12",3
Which is the largest ocean on Earth?,"Pacific Ocean,Atlantic Ocean,Indian Ocean",1
What is the capital of France?,"Berlin,Paris,London",2
Which gas is most abundant in Earth's atmosphere?,"Nitrogen,Oxygen,Carbon dioxide",1
Who wrote the play "Romeo and Juliet"?,"Jane Austen,Oscar Wilde,William Shakespeare",3
What is the chemical symbol for gold?,"Ag,Au,Gd",2
Which planet is known as the "Red Planet"?,"Mercury,Venus,Mars",3
What is the largest mammal on Earth?,"Elephant,Giraffe,Blue whale",1
In which year did World War II end?,"1942,1945,1939",2
What is the process of plants making their own food called?,"Respiration,Photosynthesis,Fermentation",2
Who painted the Mona Lisa?,"Vincent van Gogh,Pablo Picasso,Leonardo da Vinci",3
What is the tallest land animal in the world?,"Kangaroo,Giraffe,Elephant",2
What is the chemical symbol for water?,"CO2,O2,H2O",3
Who is known as the "Father of Modern Physics"?,"Marie Curie,Isaac Newton,Albert Einstein",3
What is the largest bird in the world?,"Condor,Emu,Ostrich",3
What is the smallest prime number?,"3,2,1",3
Which famous scientist formulated the laws of motion and universal gravitation?,"Thomas Edison,Isaac Newton,Nikola Tesla",2
Which gas is responsible for the greenhouse effect on Earth?,"Hydrogen,Oxygen,Carbon dioxide",3
What is the currency of Japan?,"Dollar,Euro,Yen",3
Who is the author of "Pride and Prejudice"?,"Emily Dickinson,Charlotte Brontë,Jane Austen",3
What is the largest planet in our Solar System?,"Neptune,Saturn,Jupiter",3
How many bones are there in the adult human body?,"150,300,206",3
